Inhibitor	Sensitive	Interaction
Leaf11	Leaf294	weak
Leaf11	Leaf326	strong
Leaf11	Leaf341	weak
Leaf11	Leaf344	weak
Leaf11	Leaf347	weak
Leaf11	Leaf351	weak
Leaf11	Leaf357	weak
Leaf11	Leaf394	strong
Leaf11	Leaf400	weak
Leaf11	Leaf401	strong
Leaf11	Leaf404	weak
Leaf11	Leaf407	strong
Leaf11	Leaf456	weak
Leaf121	Leaf326	weak
Leaf122	Leaf326	weak
Leaf125	Leaf326	weak
Leaf126	Leaf111	weak
Leaf126	Leaf113	weak
Leaf126	Leaf226	weak
Leaf126	Leaf325	weak
Leaf126	Leaf339	weak
Leaf126	Leaf341	weak
Leaf126	Leaf38	weak
Leaf126	Leaf394	strong
Leaf126	Leaf400	weak
Leaf126	Leaf41	strong
Leaf126	Leaf89	weak
Leaf126	Leaf92	weak
Leaf126	Leaf72	weak
Leaf127	Leaf111	weak
Leaf127	Leaf131	weak
Leaf127	Leaf226	weak
Leaf127	Leaf394	weak
Leaf127	Leaf408	weak
Leaf127	Leaf41	strong
Leaf127	Leaf84	weak
Leaf129	Leaf113	weak
Leaf13	Leaf369	weak
Leaf13	Leaf446	weak
Leaf130	Leaf1	strong
Leaf130	Leaf10	weak
Leaf130	Leaf111	weak
Leaf130	Leaf127	weak
Leaf130	Leaf16	weak
Leaf130	Leaf208	weak
Leaf130	Leaf226	weak
Leaf130	Leaf28	strong
Leaf130	Leaf325	weak
Leaf130	Leaf38	strong
Leaf130	Leaf394	strong
Leaf130	Leaf408	weak
Leaf130	Leaf41	strong
Leaf131	Leaf189	weak
Leaf131	Leaf234	weak
Leaf131	Leaf30	weak
Leaf131	Leaf34	weak
Leaf131	Leaf38	weak
Leaf131	Leaf72	weak
Leaf137	Leaf30	weak
Leaf137	Leaf347	weak
Leaf137	Leaf351	weak
Leaf139	Leaf113	weak
Leaf139	Leaf182	weak
Leaf141	Leaf30	weak
Leaf141	Leaf34	weak
Leaf141	Leaf38	weak
Leaf145	Leaf189	weak
Leaf145	Leaf28	weak
Leaf145	Leaf30	weak
Leaf145	Leaf38	weak
Leaf145	Leaf69	weak
Leaf148	Leaf131	weak
Leaf148	Leaf189	weak
Leaf148	Leaf72	weak
Leaf15	Leaf100	weak
Leaf15	Leaf102	weak
Leaf15	Leaf106	weak
Leaf15	Leaf111	weak
Leaf15	Leaf112	weak
Leaf15	Leaf117	weak
Leaf15	Leaf122	weak
Leaf15	Leaf123	weak; strong
Leaf15	Leaf125	weak
Leaf15	Leaf132	weak
Leaf15	Leaf148	weak
Leaf15	Leaf151	weak
Leaf15	Leaf176	weak
Leaf15	Leaf180	strong
Leaf15	Leaf198	strong
Leaf15	Leaf202	strong
Leaf15	Leaf205	strong
Leaf15	Leaf208	weak
Leaf15	Leaf267	weak
Leaf15	Leaf326	strong
Leaf15	Leaf339	weak
Leaf15	Leaf344	weak
Leaf15	Leaf347	weak
Leaf15	Leaf351	weak
Leaf15	Leaf357	weak
Leaf15	Leaf38	weak
Leaf15	Leaf394	strong
Leaf15	Leaf400	weak
Leaf15	Leaf401	strong
Leaf15	Leaf404	weak
Leaf15	Leaf407	strong
Leaf15	Leaf408	weak
Leaf15	Leaf41	strong
Leaf15	Leaf414	weak
Leaf15	Leaf420	weak
Leaf15	Leaf443	weak
Leaf15	Leaf446	weak
Leaf15	Leaf456	weak
Leaf15	Leaf466	weak
Leaf15	Leaf86	weak
Leaf15	Leaf87	weak
Leaf15	Leaf88	weak
Leaf15	Leaf89	strong
Leaf15	Leaf90	weak
Leaf15	Leaf91	weak
Leaf15	Leaf93	weak
Leaf15	Leaf99	weak
Leaf154	Leaf118	weak
Leaf154	Leaf123	weak
Leaf154	Leaf131	weak
Leaf154	Leaf132	weak
Leaf154	Leaf326	weak
Leaf154	Leaf347	weak
Leaf154	Leaf369	strong
Leaf154	Leaf380	strong
Leaf154	Leaf408	weak
Leaf154	Leaf446	weak
Leaf154	Leaf8	weak
Leaf154	Leaf82	weak
Leaf154	Leaf84	weak
Leaf154	Leaf89	weak
Leaf154	Leaf72	weak
Leaf16	Leaf280	weak
Leaf16	Leaf92	weak
Leaf161	Leaf4	weak
Leaf167	Leaf113	weak
Leaf167	Leaf189	weak
Leaf167	Leaf155	weak
Leaf170	Leaf189	weak
Leaf176	Leaf113	weak
Leaf176	Leaf92	weak
Leaf177	Leaf208	weak
Leaf177	Leaf325	weak
Leaf177	Leaf341	weak
Leaf177	Leaf361	weak
Leaf177	Leaf394	strong
Leaf177	Leaf404	weak
Leaf177	Leaf427	weak
Leaf177	Leaf436	weak
Leaf182	Leaf1	weak
Leaf182	Leaf10	weak
Leaf182	Leaf100	weak
Leaf182	Leaf102	weak
Leaf182	Leaf106	weak
Leaf182	Leaf11	strong
Leaf182	Leaf111	weak
Leaf182	Leaf112	weak
Leaf182	Leaf113	weak
Leaf182	Leaf117	weak
Leaf182	Leaf122	weak
Leaf182	Leaf123	weak
Leaf182	Leaf125	weak
Leaf182	Leaf130	weak
Leaf182	Leaf16	strong
Leaf182	Leaf160	weak
Leaf182	Leaf17	strong
Leaf182	Leaf172	weak
Leaf182	Leaf177	weak
Leaf182	Leaf183	weak
Leaf182	Leaf185	weak
Leaf182	Leaf186	weak
Leaf182	Leaf189	weak
Leaf182	Leaf191	weak
Leaf182	Leaf198	weak
Leaf182	Leaf2	strong
Leaf182	Leaf20	weak
Leaf182	Leaf205	weak
Leaf182	Leaf208	weak
Leaf182	Leaf21	weak
Leaf182	Leaf22	strong
Leaf182	Leaf220	strong
Leaf182	Leaf225	weak
Leaf182	Leaf226	weak
Leaf182	Leaf23	weak
Leaf182	Leaf230	weak
Leaf182	Leaf234	strong
Leaf182	Leaf24	weak
Leaf182	Leaf242	strong
Leaf182	Leaf244	weak
Leaf182	Leaf248	weak
Leaf182	Leaf25	strong
Leaf182	Leaf258	weak
Leaf182	Leaf263	weak
Leaf182	Leaf265	weak
Leaf182	Leaf267	weak
Leaf182	Leaf28	strong
Leaf182	Leaf283	weak
Leaf182	Leaf285	weak
Leaf182	Leaf289	weak
Leaf182	Leaf29	strong
Leaf182	Leaf291	strong
Leaf182	Leaf3	strong
Leaf182	Leaf30	strong
Leaf182	Leaf304	strong
