,model1,model2,mro_model1,mro_model2,mip,GRD
0,GCF_001421285.1.RAST.fbamodel,GCF_001423005.1.RAST.fbamodel,0.69767 (30/43),0.81081 (30/37),16,0.17033842883243552
1,GCF_001421285.1.RAST.fbamodel,GCF_001424185.1.RAST.fbamodel,0.62791 (27/43),0.75000 (27/36),5,0.03555327893941658
2,GCF_001421285.1.RAST.fbamodel,GCF_001424325.1.RAST.fbamodel,0.60465 (26/43),0.78788 (26/33),13,1.0147771576396867
3,GCF_001421285.1.RAST.fbamodel,GCF_001426225.1.RAST.fbamodel,0.69767 (30/43),0.73171 (30/41),10,0.3895946686400872
4,GCF_001421285.1.RAST.fbamodel,GCF_001423805.1.RAST.fbamodel,0.69767 (30/43),0.83333 (30/36),9,0.3301173729629423
5,GCF_001421285.1.RAST.fbamodel,GCF_001423825.1.RAST.fbamodel,0.60465 (26/43),0.74286 (26/35),14,0.130161086322611
6,GCF_001421285.1.RAST.fbamodel,GCF_001423845.1.RAST.fbamodel,0.65116 (28/43),0.77778 (28/36),10,1.0262910121859867
7,GCF_001421285.1.RAST.fbamodel,GCF_001424105.1.RAST.fbamodel,0.62791 (27/43),0.81818 (27/33),8,1.1770212870129895
8,GCF_001421285.1.RAST.fbamodel,GCF_001424545.1.RAST.fbamodel,0.69767 (30/43),0.83333 (30/36),10,1.2332676728184684
9,GCF_001421285.1.RAST.fbamodel,GCF_920939485.1.RAST.fbamodel,0.65116 (28/43),0.82353 (28/34),6,0.3275107219113885
10,GCF_001421285.1.RAST.fbamodel,GCF_001424145.1.RAST.fbamodel,0.62791 (27/43),0.81818 (27/33),11,1.1999041578592784
11,GCF_001421285.1.RAST.fbamodel,GCF_001425385.1.RAST.fbamodel,0.69767 (30/43),0.83333 (30/36),6,0.9022294477383646
12,GCF_001423085.1.RAST.fbamodel,GCF_001424185.1.RAST.fbamodel,0.61905 (26/42),0.72222 (26/36),7,0.30825160100532
13,GCF_001423125.1.RAST.fbamodel,GCF_001423285.1.RAST.fbamodel,0.87879 (29/33),0.70732 (29/41),19,0.7738724794122517
14,GCF_001423125.1.RAST.fbamodel,GCF_001423325.1.RAST.fbamodel,0.84848 (28/33),0.71795 (28/39),13,1.2991846297095435
15,GCF_001423125.1.RAST.fbamodel,GCF_001421625.1.RAST.fbamodel,0.78788 (26/33),0.63415 (26/41),18,1.085489444443015
