,model1,model2,mro_model1,mro_model2,mip,GRD
0,GCF_001422165.1.RAST.fbamodel,GCF_001423965.1.RAST.fbamodel,0.65000 (26/40),0.74286 (26/35),13,1.6651745428242037
1,GCF_001422165.1.RAST.fbamodel,GCF_001424505.1.RAST.fbamodel,0.60000 (24/40),0.72727 (24/33),16,2.003276661297845
2,GCF_001422165.1.RAST.fbamodel,GCF_001421245.1.RAST.fbamodel,0.65000 (26/40),0.70270 (26/37),21,0.884910340166827
3,GCF_001422165.1.RAST.fbamodel,GCF_001424455.1.RAST.fbamodel,0.65000 (26/40),0.68421 (26/38),22,1.9962595159571714
4,GCF_001422165.1.RAST.fbamodel,GCF_001422325.1.RAST.fbamodel,0.65000 (26/40),0.76471 (26/34),12,2.0439426580972815
5,GCF_001422165.1.RAST.fbamodel,GCF_001422815.1.RAST.fbamodel,0.95000 (38/40),0.97436 (38/39),7,0.2468280236257499
6,GCF_001422165.1.RAST.fbamodel,GCF_001424185.1.RAST.fbamodel,0.60000 (24/40),0.66667 (24/36),16,2.694904734878226
7,GCF_001422165.1.RAST.fbamodel,GCF_001424485.1.RAST.fbamodel,0.65000 (26/40),0.70270 (26/37),20,1.9962610807698005
8,GCF_001422165.1.RAST.fbamodel,GCF_001423545.1.RAST.fbamodel,0.67500 (27/40),0.87097 (27/31),11,2.0439993628343083
9,GCF_001422165.1.RAST.fbamodel,GCF_001423885.1.RAST.fbamodel,0.67500 (27/40),0.71053 (27/38),14,1.63500848241788
10,GCF_001422165.1.RAST.fbamodel,GCF_001425545.1.RAST.fbamodel,0.77500 (31/40),0.81579 (31/38),14,1.010296625431763
11,GCF_001422165.1.RAST.fbamodel,GCF_001421415.1.RAST.fbamodel,0.72500 (29/40),0.70732 (29/41),21,0.6860205582258998
12,GCF_001422165.1.RAST.fbamodel,GCF_916856905.1.RAST.fbamodel,0.75000 (30/40),0.66667 (30/45),17,1.0513162576549056
13,GCF_001422165.1.RAST.fbamodel,GCF_001422845.1.RAST.fbamodel,0.95000 (38/40),0.95000 (38/40),10,1.549428022425102
14,GCF_001422165.1.RAST.fbamodel,GCF_001422425.1.RAST.fbamodel,0.82500 (33/40),0.91667 (33/36),8,1.9062918904367823
15,GCF_001422165.1.RAST.fbamodel,GCF_001422215.1.RAST.fbamodel,0.87500 (35/40),0.87500 (35/40),8,1.8558405054653024
16,GCF_001422165.1.RAST.fbamodel,GCF_001423845.1.RAST.fbamodel,0.65000 (26/40),0.72222 (26/36),12,0.7608768314668658
17,GCF_001422165.1.RAST.fbamodel,GCF_001421705.1.RAST.fbamodel,0.67500 (27/40),0.81818 (27/33),11,0.6641030746462327
18,GCF_001422165.1.RAST.fbamodel,GCF_920984665.1.RAST.fbamodel,0.65000 (26/40),0.68421 (26/38),8,0.6660086115223026
19,GCF_001422165.1.RAST.fbamodel,GCF_001424445.1.RAST.fbamodel,0.90000 (36/40),0.87805 (36/41),16,0.14683700740365457
20,GCF_001422165.1.RAST.fbamodel,GCF_001424125.1.RAST.fbamodel,0.72500 (29/40),0.93548 (29/31),9,1.7071436730443976
21,GCF_001422165.1.RAST.fbamodel,GCF_001424305.1.RAST.fbamodel,0.82500 (33/40),0.75000 (33/44),15,0.4537997041941803
22,GCF_001422165.1.RAST.fbamodel,GCF_001423425.1.RAST.fbamodel,0.62500 (25/40),0.75758 (25/33),17,0.456972705165651
23,GCF_001422165.1.RAST.fbamodel,GCF_001425355.1.RAST.fbamodel,0.67500 (27/40),0.87097 (27/31),12,0.11816284480778234
24,GCF_001422165.1.RAST.fbamodel,GCF_001423205.1.RAST.fbamodel,0.85000 (34/40),0.79070 (34/43),10,4.923751576478124
25,GCF_001422165.1.RAST.fbamodel,GCF_001424665.1.RAST.fbamodel,0.70000 (28/40),0.70000 (28/40),17,1.0438327638022322
26,GCF_001422165.1.RAST.fbamodel,GCF_001422105.1.RAST.fbamodel,0.72500 (29/40),0.85294 (29/34),5,0.584139846514091
27,GCF_001422165.1.RAST.fbamodel,GCF_001422665.1.RAST.fbamodel,0.72500 (29/40),0.87879 (29/33),15,1.0243813628763536
28,GCF_001422165.1.RAST.fbamodel,GCF_001423495.1.RAST.fbamodel,0.85000 (34/40),0.91892 (34/37),9,2.0287120288554035
29,GCF_001422165.1.RAST.fbamodel,GCF_001422375.1.RAST.fbamodel,0.90000 (36/40),0.78261 (36/46),9,2.4347450037198595
30,GCF_001422165.1.RAST.fbamodel,GCF_001422285.1.RAST.fbamodel,0.65000 (26/40),0.74286 (26/35),18,0.9956019031552101
31,GCF_001422165.1.RAST.fbamodel,GCF_942548115.1.RAST.fbamodel,0.65000 (26/40),0.68421 (26/38),18,2.0426646585606774
32,GCF_001422165.1.RAST.fbamodel,GCF_001423745.1.RAST.fbamodel,0.70000 (28/40),0.80000 (28/35),18,1.8501662181836371
33,GCF_001422165.1.RAST.fbamodel,GCF_001424325.1.RAST.fbamodel,0.57500 (23/40),0.69697 (23/33),13,0.7709397208719018
34,GCF_001422165.1.RAST.fbamodel,GCF_001423765.1.RAST.fbamodel,0.67500 (27/40),0.77143 (27/35),16,0.931896286423534
35,GCF_001422165.1.RAST.fbamodel,GCF_001421765.1.RAST.fbamodel,0.65000 (26/40),0.70270 (26/37),16,0.5250774698434834
36,GCF_001422165.1.RAST.fbamodel,GCF_001424105.1.RAST.fbamodel,0.72500 (29/40),0.87879 (29/33),11,0.6389591220144482
37,GCF_001422165.1.RAST.fbamodel,GCF_001422735.1.RAST.fbamodel,0.72500 (29/40),0.85294 (29/34),5,0.5802339663199182
38,GCF_001422165.1.RAST.fbamodel,GCF_001424085.1.RAST.fbamodel,0.62500 (25/40),0.78125 (25/32),16,2.013476489076993
39,GCF_001422165.1.RAST.fbamodel,GCF_001425405.1.RAST.fbamodel,0.70000 (28/40),0.73684 (28/38),15,0.7774453061216967
40,GCF_001422165.1.RAST.fbamodel,GCF_001423605.1.RAST.fbamodel,0.67500 (27/40),0.77143 (27/35),12,1.4792292178830526
41,GCF_001422165.1.RAST.fbamodel,GCF_001422545.1.RAST.fbamodel,0.70000 (28/40),0.68293 (28/41),17,0.5558871289650001
42,GCF_001422165.1.RAST.fbamodel,GCF_001421505.1.RAST.fbamodel,0.67500 (27/40),0.69231 (27/39),14,0.7262990114958859
43,GCF_001422165.1.RAST.fbamodel,GCF_001423905.1.RAST.fbamodel,0.65000 (26/40),0.74286 (26/35),14,2.059993017987535
44,GCF_001422165.1.RAST.fbamodel,GCF_001425495.1.RAST.fbamodel,0.77500 (31/40),0.77500 (31/40),20,1.0511286708343015
45,GCF_001422165.1.RAST.fbamodel,GCF_001421425.1.RAST.fbamodel,0.77500 (31/40),0.81579 (31/38),10,0.8177886592249742
46,GCF_001422165.1.RAST.fbamodel,GCF_001421945.1.RAST.fbamodel,0.65000 (26/40),0.68421 (26/38),13,0.75074152120244
47,GCF_001422165.1.RAST.fbamodel,GCF_920939515.1.RAST.fbamodel,0.67500 (27/40),0.72973 (27/37),19,0.8757110380548881
48,GCF_001422165.1.RAST.fbamodel,GCF_001423155.1.RAST.fbamodel,0.77500 (31/40),0.81579 (31/38),13,1.9858861479171235
49,GCF_001422165.1.RAST.fbamodel,GCF_001423325.1.RAST.fbamodel,0.85000 (34/40),0.87179 (34/39),7,2.7037696052004896
50,GCF_001422165.1.RAST.fbamodel,GCF_001422725.1.RAST.fbamodel,0.67500 (27/40),0.93103 (27/29),6,0.6337347679075431
51,GCF_001422165.1.RAST.fbamodel,GCF_001421585.1.RAST.fbamodel,0.82500 (33/40),0.70213 (33/47),16,2.708390163617526
52,GCF_001422165.1.RAST.fbamodel,GCF_920939495.1.RAST.fbamodel,0.75000 (30/40),0.78947 (30/38),13,1.6358415043792374
53,GCF_001422165.1.RAST.fbamodel,GCF_001424145.1.RAST.fbamodel,0.72500 (29/40),0.87879 (29/33),12,0.6219110657262173
54,GCF_001422165.1.RAST.fbamodel,GCF_920984725.1.RAST.fbamodel,0.85000 (34/40),0.91892 (34/37),13,2.2246286261856536
55,GCF_001422165.1.RAST.fbamodel,GCF_001424265.1.RAST.fbamodel,0.70000 (28/40),0.80000 (28/35),19,1.274195235289072
56,GCF_001422165.1.RAST.fbamodel,GCF_001423185.1.RAST.fbamodel,0.62500 (25/40),0.73529 (25/34),16,1.279748050742006
57,GCF_001422165.1.RAST.fbamodel,GCF_001423925.1.RAST.fbamodel,0.65000 (26/40),0.74286 (26/35),15,1.6651745428239475
58,GCF_001422165.1.RAST.fbamodel,GCF_920939475.1.RAST.fbamodel,0.65000 (26/40),0.70270 (26/37),13,0.7241736570067424
59,GCF_001422165.1.RAST.fbamodel,GCF_001421165.1.RAST.fbamodel,0.65000 (26/40),0.68421 (26/38),22,1.62444021890395
60,GCF_001422165.1.RAST.fbamodel,GCF_001426125.1.RAST.fbamodel,0.75000 (30/40),0.88235 (30/34),10,0.6986521647541133
61,GCF_001422165.1.RAST.fbamodel,GCF_001422025.1.RAST.fbamodel,0.62500 (25/40),0.78125 (25/32),8,2.394344973213706
