,model1,model2,mro_model1,mro_model2,mip,GRD
0,GCF_001425355.1.RAST.fbamodel,GCF_001422125.1.RAST.fbamodel,0.80645 (25/31),0.59524 (25/42),16,0.20550886589097878
1,GCF_001425355.1.RAST.fbamodel,GCF_001421285.1.RAST.fbamodel,0.83871 (26/31),0.60465 (26/43),11,2.1909921830596075
2,GCF_001425355.1.RAST.fbamodel,GCF_001423495.1.RAST.fbamodel,0.83871 (26/31),0.70270 (26/37),8,1.708650213982034
3,GCF_001425355.1.RAST.fbamodel,GCF_001421605.1.RAST.fbamodel,0.74194 (23/31),0.63889 (23/36),15,0.6746272633611408
4,GCF_001425355.1.RAST.fbamodel,GCF_001426065.1.RAST.fbamodel,0.77419 (24/31),0.63158 (24/38),9,0.40125130376420765
5,GCF_001425355.1.RAST.fbamodel,GCF_001422685.1.RAST.fbamodel,0.70968 (22/31),0.64706 (22/34),13,0.9556231589076409
6,GCF_001422215.1.RAST.fbamodel,GCF_001425985.1.RAST.fbamodel,0.72500 (29/40),0.78378 (29/37),12,0.7504362384924341
7,GCF_001422215.1.RAST.fbamodel,GCF_001422125.1.RAST.fbamodel,0.82500 (33/40),0.78571 (33/42),7,2.078926352181172
8,GCF_001422215.1.RAST.fbamodel,GCF_001422775.1.RAST.fbamodel,0.87500 (35/40),0.87500 (35/40),7,0.3837516743326374
9,GCF_001422215.1.RAST.fbamodel,GCF_001422245.1.RAST.fbamodel,0.62500 (25/40),0.71429 (25/35),17,0.7693040631897394
10,GCF_001422215.1.RAST.fbamodel,GCF_001423335.1.RAST.fbamodel,0.67500 (27/40),0.67500 (27/40),11,0.6625627790576132
11,GCF_001422215.1.RAST.fbamodel,GCF_001424145.1.RAST.fbamodel,0.67500 (27/40),0.81818 (27/33),7,0.76078736116545
12,GCF_001422215.1.RAST.fbamodel,GCF_001424525.1.RAST.fbamodel,0.80000 (32/40),0.82051 (32/39),3,0.033623878128921585
13,GCF_001422215.1.RAST.fbamodel,GCF_001423645.1.RAST.fbamodel,0.65000 (26/40),0.68421 (26/38),15,0.029930994928971253
14,GCF_001422215.1.RAST.fbamodel,GCF_001421765.1.RAST.fbamodel,0.62500 (25/40),0.67568 (25/37),13,0.8725871714295399
15,GCF_001422215.1.RAST.fbamodel,GCF_920939485.1.RAST.fbamodel,0.70000 (28/40),0.82353 (28/34),15,0.06252997095472777
16,GCF_001424105.1.RAST.fbamodel,GCF_001424755.1.RAST.fbamodel,0.72727 (24/33),0.63158 (24/38),13,0.14440068386538818
17,GCF_001424105.1.RAST.fbamodel,GCF_001423045.1.RAST.fbamodel,0.66667 (22/33),0.61111 (22/36),12,0.20986228577668037
18,GCF_001424105.1.RAST.fbamodel,GCF_001422985.1.RAST.fbamodel,0.81818 (27/33),0.71053 (27/38),7,1.1190717443540146
19,GCF_001424105.1.RAST.fbamodel,GCF_001423295.1.RAST.fbamodel,0.87879 (29/33),0.70732 (29/41),7,0.5387978564848999
20,GCF_001424105.1.RAST.fbamodel,GCF_001424065.1.RAST.fbamodel,0.63636 (21/33),0.63636 (21/33),10,0.07973943408642915
21,GCF_001424105.1.RAST.fbamodel,GCF_001425485.1.RAST.fbamodel,0.75758 (25/33),0.75758 (25/33),7,0.05697736955351165
22,GCF_001424105.1.RAST.fbamodel,GCF_001425445.1.RAST.fbamodel,0.66667 (22/33),0.61111 (22/36),9,0.06820393057567448
23,GCF_001424105.1.RAST.fbamodel,GCF_001422525.1.RAST.fbamodel,0.75758 (25/33),0.59524 (25/42),11,1.0497058840465843
24,GCF_001424105.1.RAST.fbamodel,GCF_001423285.1.RAST.fbamodel,0.81818 (27/33),0.65854 (27/41),6,0.7435097887611761
25,GCF_001424105.1.RAST.fbamodel,GCF_001422245.1.RAST.fbamodel,0.72727 (24/33),0.68571 (24/35),2,0.015398804111616688
26,GCF_001424565.1.RAST.fbamodel,GCF_001421315.1.RAST.fbamodel,0.75000 (27/36),0.79412 (27/34),13,0.3253815024980229
27,GCF_001424565.1.RAST.fbamodel,GCF_001421965.1.RAST.fbamodel,0.75000 (27/36),0.72973 (27/37),17,0.6154235648437715
28,GCF_001424565.1.RAST.fbamodel,GCF_001421325.1.RAST.fbamodel,0.66667 (24/36),0.60000 (24/40),16,0.6957385664213123
29,GCF_001424565.1.RAST.fbamodel,GCF_001424365.1.RAST.fbamodel,0.69444 (25/36),0.78125 (25/32),11,1.78445809206384
30,GCF_001424565.1.RAST.fbamodel,GCF_001426195.1.RAST.fbamodel,0.72222 (26/36),0.70270 (26/37),13,0.6303130616335776
31,GCF_001424565.1.RAST.fbamodel,GCF_001421435.1.RAST.fbamodel,0.72222 (26/36),0.78788 (26/33),10,0.7829801388989206
32,GCF_001424565.1.RAST.fbamodel,GCF_001421405.1.RAST.fbamodel,0.75000 (27/36),0.72973 (27/37),16,0.9822876385440216
33,GCF_001424565.1.RAST.fbamodel,GCF_001422525.1.RAST.fbamodel,0.75000 (27/36),0.64286 (27/42),6,0.11122266693211895
34,GCF_001424565.1.RAST.fbamodel,GCF_001424345.1.RAST.fbamodel,0.80556 (29/36),0.69048 (29/42),9,0.11634797728791861
35,GCF_001424565.1.RAST.fbamodel,GCF_001422345.1.RAST.fbamodel,0.80556 (29/36),0.67442 (29/43),17,2.0230992293422236
36,GCF_001423285.1.RAST.fbamodel,GCF_001423485.1.RAST.fbamodel,0.51220 (21/41),0.70000 (21/30),24,0.08449130194396748
