,model1,model2,media,model1 growth,model2 growth,community growth,MRO_model1,MRO_model2,CIP,MIP_model1 (costless),MIP_model2 (costless),BSS_model1,BSS_model2,PC_comm,PC_model1,PC_model2,BIT,GYD,FS
0,GCF_001421425.1.RAST.fbamodel,GCF_001423785.1.RAST.fbamodel,R2A_M,134.38,68.376,136.75,72.549% (37/51),82.222% (37/45),24,15 (3),4 (2),73.333%,66.667%,1.2025,1.0461,1.414,commensalism,0.35172,0.25651
1,GCF_001421425.1.RAST.fbamodel,GCF_001423565.1_Leaf145.fna_genome.fbamodel,R2A_M,65.365,48.135,96.27,64.706% (33/51),66.000% (33/50),21,1 (0),7 (3),78.0%,23.529%,0.85052,0.7364,1.0065,amensalism,0.36681,0.0
2,GCF_001421425.1.RAST.fbamodel,GCF_001422185.1.RAST.fbamodel,R2A_M,65.365,120.25,113.65,68.627% (35/51),92.105% (35/38),25,9 (3),3 (0),71.053%,68.627%,1.0277,0.86933,1.2567,parasitism,0.44565,0.34021
3,GCF_001421425.1.RAST.fbamodel,GCF_001421805.1.RAST.fbamodel,R2A_M,65.365,86.809,136.45,70.588% (36/51),76.596% (36/47),24,8 (3),2 (0),72.34%,68.627%,1.1348,1.0437,1.2434,commensalism,0.19126,0.34713
4,GCF_001421425.1.RAST.fbamodel,GCF_001421235.1_Leaf202.fna_genome.fbamodel,R2A_M,65.365,49.604,99.208,64.706% (33/51),68.750% (33/48),22,1 (1),7 (5),77.083%,19.608%,0.86576,0.75888,1.0077,amensalism,0.32786,0.0
5,GCF_001421425.1.RAST.fbamodel,GCF_001421165.1.RAST.fbamodel,R2A_M,65.365,51.069,92.928,64.706% (33/51),80.488% (33/41),24,11 (3),1 (1),78.049%,66.667%,0.84274,0.71083,1.0348,amensalism,0.45571,0.25436
6,GCF_001421425.1.RAST.fbamodel,GCF_001423105.1.RAST.fbamodel,R2A_M,65.365,59.161,118.32,68.627% (35/51),87.500% (35/40),21,11 (2),5 (2),75.0%,60.784%,1.8102,0.90509,,,,0.25368
7,GCF_001421425.1.RAST.fbamodel,GCF_001426165.RAST.fbamodel,R2A_M,65.365,92.093,138.0,74.510% (38/51),86.364% (38/44),25,11 (3),1 (1),70.455%,70.588%,1.1213,1.0556,1.1958,commensalism,0.13278,0.29827
8,GCF_001421425.1.RAST.fbamodel,GCF_001423665.1.RAST.fbamodel,R2A_M,65.365,63.018,126.04,66.667% (34/51),79.070% (34/43),23,9 (4),4 (1),72.093%,64.706%,1.0196,0.96408,1.0819,neutral,0.12222,0.25098
9,GCF_001421425.1.RAST.fbamodel,GCF_001424595.1.RAST.fbamodel,R2A_M,65.365,77.067,116.7,68.627% (35/51),77.778% (35/45),25,11 (3),3 (1),71.111%,68.627%,0.99996,0.89269,1.1365,parasitism,0.27317,0.25079
