,model1,model2,media,mro_model1,mro_model2,cip,mip,costless_mip,pc,gyd
0,GCF_001422165.1.RAST.fbamodel,GCF_001423965.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.74286 (26/35),20,20,4,0.8787746403940355,1.665174542828706
1,GCF_001422165.1.RAST.fbamodel,GCF_001424505.1.RAST.fbamodel,R2A_edition_003,0.60000 (24/40),0.72727 (24/33),20,24,4,0.8597624333127618,2.0032766612929294
2,GCF_001422165.1.RAST.fbamodel,GCF_001421245.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.70270 (26/37),19,25,5,0.8699342464083516,0.8849103401663211
3,GCF_001422165.1.RAST.fbamodel,GCF_001424455.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.68421 (26/38),24,27,6,0.8932961882649277,1.996259515958276
4,GCF_001422165.1.RAST.fbamodel,GCF_001422325.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.76471 (26/34),21,18,6,0.8634926994782954,2.0439426580974107
5,GCF_001422165.1.RAST.fbamodel,GCF_001422815.1.RAST.fbamodel,R2A_edition_003,0.95000 (38/40),0.97436 (38/39),15,7,3,0.8888872044589835,0.2468280236257582
6,GCF_001422165.1.RAST.fbamodel,GCF_001424185.1.RAST.fbamodel,R2A_edition_003,0.60000 (24/40),0.66667 (24/36),20,24,4,0.7240063582752616,2.694904734879641
7,GCF_001422165.1.RAST.fbamodel,GCF_001424485.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.70270 (26/37),24,28,4,0.8940971445823106,1.9962610807721308
8,GCF_001422165.1.RAST.fbamodel,GCF_001423545.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.87097 (27/31),25,20,6,0.8655522069899878,2.043999362834008
9,GCF_001422165.1.RAST.fbamodel,GCF_001423885.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.71053 (27/38),24,17,4,0.8800537430691735,1.6350084824180853
10,GCF_001422165.1.RAST.fbamodel,GCF_001425545.1.RAST.fbamodel,R2A_edition_003,0.77500 (31/40),0.81579 (31/38),22,18,3,0.8589349689848615,1.0102966254325476
11,GCF_001422165.1.RAST.fbamodel,GCF_001421415.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.70732 (29/41),21,29,8,0.8726941598679396,0.6860205582259703
12,GCF_001422165.1.RAST.fbamodel,GCF_916856905.1.RAST.fbamodel,R2A_edition_003,0.75000 (30/40),0.66667 (30/45),20,20,3,0.7204305981785702,1.0513162576549098
13,GCF_001422165.1.RAST.fbamodel,GCF_001422845.1.RAST.fbamodel,R2A_edition_003,0.95000 (38/40),0.95000 (38/40),14,12,3,0.8749645103990288,1.5494280224251142
14,GCF_001422165.1.RAST.fbamodel,GCF_001422425.1.RAST.fbamodel,R2A_edition_003,0.82500 (33/40),0.91667 (33/36),19,19,6,0.8337586872229603,1.906291890431565
15,GCF_001422165.1.RAST.fbamodel,GCF_001422215.1.RAST.fbamodel,R2A_edition_003,0.87500 (35/40),0.87500 (35/40),19,15,1,0.7876984580989668,1.8558405054653695
16,GCF_001422165.1.RAST.fbamodel,GCF_001423845.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.72222 (26/36),21,17,5,0.7920742204752039,0.7608768314668755
17,GCF_001422165.1.RAST.fbamodel,GCF_001421705.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.81818 (27/33),18,17,4,0.8941648985721793,0.6641030746460922
18,GCF_001422165.1.RAST.fbamodel,GCF_920984665.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.68421 (26/38),17,16,2,0.8457025126827815,0.666008611522277
19,GCF_001422165.1.RAST.fbamodel,GCF_001424445.1.RAST.fbamodel,R2A_edition_003,0.90000 (36/40),0.87805 (36/41),16,17,3,0.8828907095346329,0.14683700740543773
20,GCF_001422165.1.RAST.fbamodel,GCF_001424125.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.93548 (29/31),20,18,4,0.8795582129187721,1.7071436730444822
21,GCF_001422165.1.RAST.fbamodel,GCF_001424305.1.RAST.fbamodel,R2A_edition_003,0.82500 (33/40),0.75000 (33/44),20,19,6,0.8296162630628234,0.4537997041945272
22,GCF_001422165.1.RAST.fbamodel,GCF_001423425.1.RAST.fbamodel,R2A_edition_003,0.62500 (25/40),0.75758 (25/33),21,19,4,0.8785120028912402,0.45697270516578237
23,GCF_001422165.1.RAST.fbamodel,GCF_001425355.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.87097 (27/31),22,20,6,0.8901342346488714,0.11816284480773442
24,GCF_001422165.1.RAST.fbamodel,GCF_001423205.1.RAST.fbamodel,R2A_edition_003,0.85000 (34/40),0.79070 (34/43),19,14,3,0.7548978754755787,4.923751576478165
25,GCF_001422165.1.RAST.fbamodel,GCF_001424665.1.RAST.fbamodel,R2A_edition_003,0.70000 (28/40),0.70000 (28/40),20,20,5,0.7204883133849695,1.0438327638022542
26,GCF_001422165.1.RAST.fbamodel,GCF_001422105.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.85294 (29/34),21,12,3,0.7724129624206262,0.5841398465141314
27,GCF_001422165.1.RAST.fbamodel,GCF_001422665.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.87879 (29/33),23,23,6,0.871711890670524,1.0243813628800242
